Nom avec article;Code commune;Département;Code postal;Longitude;Latitude
Saint-Martin-de-Gurson;24454;Dordogne;24610;0.108522;44.951884
Saint-Martin-de-Ribérac;24455;Dordogne;24600;0.3572;45.2296
Saint-Martin-des-Combes;24456;Dordogne;24140;0.614827;44.956971
Saint-Martin-l'Astier;24457;Dordogne;24400;0.3753737;45.0964141
Saint-Martin-le-Pin;24458;Dordogne;24300;0.6153915;45.5545679
Saint-Mayme-de-Péreyrol;24459;Dordogne;24380;0.647114;45.014362
Saint-Méard-de-Drône;24460;Dordogne;24600;0.419272;45.248128
Saint-Méard-de-Gurçon;24461;Dordogne;24610;0.182648;44.909064
Saint-Médard-de-Mussidan;24462;Dordogne;24400;0.34637929;45.0438603
Saint-Médard-d'Excideuil;24463;Dordogne;24160;1.071472;45.3406
Saint-Mesmin;24464;Dordogne;24270;1.205203;45.351933
Saint-Michel-de-Double;24465;Dordogne;24400;0.28929400444;45.0792198181
Saint-Michel-de-Montaigne;24466;Dordogne;24230;0.030264;44.874085
Saint-Michel-de-Rivière;24467;;;;
Saint-Michel-de-Villadeix;24468;Dordogne;24380;0.7219049;44.9855574
Saint-Michel-l'Écluse-et-Léparon;24469;;;;
Sainte-Mondane;24470;Dordogne;24370;1.33634102345;44.845451355
Sainte-Nathalène;24471;Dordogne;24200;1.28782;44.904013
Saint-Nexans;24472;Dordogne;24520;0.547653;44.804347
Sainte-Orse;24473;Dordogne;24210;1.074465;45.203623
Saint-Pancrace;24474;Dordogne;24530;0.663196;45.427777
Saint-Pantaly-d'Ans;24475;;;;
Saint-Pantaly-d'Excideuil;24476;Dordogne;24160;1.05976605415;45.2705612183
Saint-Pardoux-de-Drône;24477;Dordogne;24600;0.4201627;45.2260312
Saint-Pardoux-et-Vielvic;24478;Dordogne;24170;0.9581751;44.7669505
Saint-Pardoux-la-Rivière;24479;Dordogne;24470;0.75083272;45.49365358
Saint-Paul-de-Serre;24480;Dordogne;24380;0.633691012859;45.0887870789
Saint-Paul-la-Roche;24481;Dordogne;24800;1.0006623;45.478235
Saint-Paul-Lizonne;24482;Dordogne;24320;0.2815958;45.3215638
Saint-Perdoux;24483;Dordogne;24560;0.538148;44.740126
Saint-Pierre-de-Chignac;24484;Dordogne;24330;0.855988;45.125286
Saint-Pierre-de-Côle;24485;Dordogne;24800;0.791214;45.370486
Saint-Pierre-de-Frugie;24486;Dordogne;24450;0.998182;45.574412
Saint-Pierre-d'Eyraud;24487;Dordogne;24130;0.319601;44.848495
Saint-Pompont;24488;Dordogne;24170;1.17021000385;44.7886009216
Saint-Priest-les-Fougères;24489;Dordogne;24450;1.012896;45.543634
Saint Privat en Périgord;24490;Dordogne;24410;0.199743;45.255401
Saint-Rabier;24491;Dordogne;24210;1.1520689;45.169317
Sainte-Radegonde;24492;Dordogne;24560;0.677381;44.690208
Saint-Raphaël;24493;Dordogne;24160;1.0737814;45.3040259
Saint-Rémy;24494;Dordogne;24700;0.186338;44.945802
Saint-Romain-de-Monpazier;24495;Dordogne;24540;0.872666;44.717238
Saint-Romain-et-Saint-Clément;24496;Dordogne;24800;0.864742994308;45.4250144958
Sainte-Sabine-Born;24497;;;;
Saint-Saud-Lacoussière;24498;Dordogne;24470;0.820408;45.544206
Saint-Sauveur;24499;Dordogne;24520;0.5862548;44.8684987
Saint-Sauveur-Lalande;24500;Dordogne;24700;0.253508;44.985897
Saint-Seurin-de-Prats;24501;Dordogne;24230;0.0620258;44.8247037
Saint-Séverin-d'Estissac;24502;Dordogne;24190;0.476967990398;45.0516548157
Saint-Sulpice-de-Mareuil;24503;;;;
Saint-Sulpice-de-Roumagnac;24504;Dordogne;24600;0.393247;45.204875
Saint-Sulpice-d'Excideuil;24505;Dordogne;24800;1.004886;45.389482
Sainte-Trie;24507;Dordogne;24160;1.199372;45.297642
Saint-Victor;24508;Dordogne;24350;0.437171;45.264021
Saint-Vincent-de-Connezac;24509;Dordogne;24190;0.39808;45.164401
Saint-Vincent-de-Cosse;24510;Dordogne;24220;1.119571;44.841482
Saint-Vincent-Jalmoutiers;24511;Dordogne;24410;0.187677;45.203462
Saint-Vincent-le-Paluel;24512;Dordogne;24200;1.28482997417;44.8903999329
Saint-Vincent-sur-l'Isle;24513;Dordogne;24420;0.8927068;45.2438392
Saint-Vivien;24514;Dordogne;24230;0.105019;44.892569
Salagnac;24515;Dordogne;24160;1.362974;44.870556
Salignac-Eyvigues;24516;Dordogne;24590;1.3226573;44.9745235
Salles-de-Belvès;24517;Dordogne;24170;1.00619;44.77699
Salon;24518;Dordogne;24380;0.77376;45.021719
Sarlande;24519;Dordogne;24270;1.114005;45.45057
Sarlat-la-Canéda;24520;Dordogne;24200;1.218315;44.888166
Sarliac-sur-l'Isle;24521;Dordogne;24420;0.8744209;45.2375538
Sarrazac;24522;Dordogne;24800;1.032253;45.4349909
Saussignac;24523;Dordogne;24240;0.326425;44.80004
Savignac-de-Miremont;24524;Dordogne;24260;0.944601;44.972354
Savignac-de-Nontron;24525;Dordogne;24300;0.72052;45.542988
Savignac-Lédrier;24526;Dordogne;24270;1.2085015;45.3965194
Savignac-les-Églises;24527;Dordogne;24420;0.914406001568;45.273399353
Sceau-Saint-Angel;24528;Dordogne;24300;0.694962978363;45.4827613831
Segonzac;24529;Dordogne;24600;0.447931;45.205658
Sencenac-Puy-de-Fourches;24530;;24310;0.674205;45.311662
Sergeac;24531;Dordogne;24290;1.106926;45.002428
Serres-et-Montguyard;24532;Dordogne;24500;0.453811;44.673082
Servanches;24533;Dordogne;24410;0.158825;45.144046
Sigoulès-et-Flaugeac;24534;Dordogne;24240;0.410835;44.760348
Simeyrols;24535;Dordogne;24370;1.33864498138;44.9061927795
Singleyrac;24536;Dordogne;24500;0.465261;44.736705
Siorac-de-Ribérac;24537;Dordogne;24600;0.357379;45.197454
Siorac-en-Périgord;24538;Dordogne;24170;0.989169;44.821836
Sorges et Ligueux en Périgord;24540;Dordogne;24460;0.877189;45.30726
Sorges;24540;;24460;0.877189;45.30726
Soudat;24541;Dordogne;24360;0.606343;45.651472
Soulaures;24542;Dordogne;24540;0.922662;44.649357
Sourzac;24543;Dordogne;24400;0.395897;45.051726
Tamniès;24544;Dordogne;24620;1.147978;44.965789
Teillots;24545;Dordogne;24390;1.22233605385;45.2569465637
Temple-Laguyon;24546;Dordogne;24390;1.099571;45.233751
Terrasson-Lavilledieu;24547;Dordogne;24120;1.300799;45.135333
Teyjat;24548;Dordogne;24300;0.576389014721;45.5849876404
Thénac;24549;Dordogne;24240;0.341552;44.749701
Thenon;24550;Dordogne;24210;1.0712354;45.1370271
Thiviers;24551;Dordogne;24800;0.92189;45.417374
Thonac;24552;Dordogne;24290;1.116041;45.022419
Tocane-Saint-Apre;24553;Dordogne;24350;0.4989849;45.2541254
La Tour-Blanche-Cercles;24554;Dordogne;24320;0.44608160000007;45.365764
La Tour-Blanche;24554;;24320;0.44608160000007;45.365764
Tourtoirac;24555;Dordogne;24390;1.0595999;45.2706011
Trélissac;24557;Dordogne;24751;0.7803815;45.1956015
Trémolat;24558;Dordogne;24510;0.830085;44.875807
Tursac;24559;Dordogne;24620;1.044908;44.9691479
Urval;24560;Dordogne;24480;0.948609;44.812395
Valeuil;24561;;24310;0.618486;45.332732
Vallereuil;24562;Dordogne;24190;0.496888;45.0708849
Valojoulx;24563;Dordogne;24290;1.1429846;45.0187197
Vanxains;24564;Dordogne;24600;0.286606;45.216234
Varaignes;24565;Dordogne;24360;0.53068;45.59753
Varennes;24566;Dordogne;24150;0.691354;44.831423
Vaunac;24567;Dordogne;24800;0.860609;45.364004
Vélines;24568;Dordogne;24230;0.10747;44.8597
Vendoire;24569;Dordogne;24320;0.3062608;45.4158056
Verdon;24570;Dordogne;24520;0.632202;44.809917
Vergt;24571;Dordogne;24380;0.7181;45.02454
Vergt-de-Biron;24572;Dordogne;24540;0.841629;44.633437
Verteillac;24573;Dordogne;24320;0.366328;45.347133
Veyrignac;24574;Dordogne;24370;1.309922;44.83262
Veyrines-de-Domme;24575;Dordogne;24250;1.105061;44.794266
Veyrines-de-Vergt;24576;Dordogne;24380;0.771542;45.003258
Vézac;24577;Dordogne;24220;1.17021000385;44.7886009216
Vieux-Mareuil;24579;;;;
Villac;24580;Dordogne;24120;1.2554455;45.184514
Villamblard;24581;Dordogne;24140;0.540556;45.022431
Villars;24582;Dordogne;24530;0.75385;45.421385
Villefranche-de-Lonchat;24584;Dordogne;24610;0.06466;44.946831
Villefranche-du-Périgord;24585;Dordogne;24550;1.080017;44.629428
Villetoureix;24586;Dordogne;24600;0.362573;45.263491
Vitrac;24587;Dordogne;24200;1.225166;44.832101
Abbans-Dessous;25001;Doubs;25320;5.88934993744;47.1383018494
Abbans-Dessus;25002;Doubs;25440;5.88410997391;47.1251983643
Abbenans;25003;Doubs;25340;6.450322;47.50055
Abbévillers;25004;Doubs;25310;6.91874980927;47.4306983948
Accolans;25005;Doubs;25250;6.5324653;47.49494
Adam-lès-Passavant;25006;Doubs;25360;6.36055612564;47.2970275879
Adam-lès-Vercel;25007;Doubs;25530;6.391479;47.168207
Aibre;25008;Doubs;25750;6.6964434;47.549461
Aïssey;25009;Doubs;25360;6.331183;47.269427
Alaise;25010;;;;
Allenjoie;25011;Doubs;25490;6.896849;47.533917
Les Alliés;25012;Doubs;25300;6.44674110413;46.9483184814
Allondans;25013;Doubs;25550;6.7475293;47.5194201
